,datetime,open,high,low,close
20170419142107,2017-04-19 14:21:07,1287.3,1287.7,1287.2,1287.3
20170419143005,2017-04-19 14:30:05,1287.2,1287.4,1287.0,1287.4
20170419143620,2017-04-19 14:36:20,1287.4,1287.6,1286.9,1287.4
20170419144221,2017-04-19 14:42:21,1287.4,1287.9,1286.9,1287.0
20170419144430,2017-04-19 14:44:30,1287.0,1287.0,1286.3,1286.6
20170419144650,2017-04-19 14:46:50,1286.6,1286.7,1286.3,1286.4
20170419145205,2017-04-19 14:52:05,1286.4,1286.7,1286.3,1286.7
20170419145836,2017-04-19 14:58:36,1286.7,1286.9,1286.3,1286.8
20170419150444,2017-04-19 15:04:44,1286.8,1287.0,1286.4,1286.4
20170419151241,2017-04-19 15:12:41,1286.4,1286.6,1285.1,1285.3
20170419151336,2017-04-19 15:13:36,1285.3,1286.6,1285.1,1286.2
20170419151524,2017-04-19 15:15:24,1286.3,1286.4,1285.7,1286.1
20170419152105,2017-04-19 15:21:05,1286.1,1286.2,1285.4,1285.8
20170419152752,2017-04-19 15:27:52,1285.8,1286.4,1285.6,1286.3
20170419153505,2017-04-19 15:35:05,1286.3,1286.3,1285.6,1286.0
20170419154420,2017-04-19 15:44:20,1286.1,1286.9,1286.0,1286.7
20170419155051,2017-04-19 15:50:51,1286.7,1286.9,1286.4,1286.5
20170419155926,2017-04-19 15:59:26,1286.5,1286.7,1286.1,1286.3
20170419160330,2017-04-19 16:03:30,1286.2,1286.6,1285.9,1286.1
20170419160701,2017-04-19 16:07:01,1286.0,1286.5,1285.9,1286.0
20170419161317,2017-04-19 16:13:17,1286.1,1286.5,1285.8,1285.8
20170419161944,2017-04-19 16:19:44,1285.8,1286.5,1285.7,1286.4
20170419162933,2017-04-19 16:29:33,1286.4,1286.6,1285.9,1286.5
20170419163738,2017-04-19 16:37:38,1286.5,1287.2,1286.4,1286.9
20170419164224,2017-04-19 16:42:24,1286.9,1287.0,1286.5,1286.6
20170419165152,2017-04-19 16:51:52,1286.6,1286.8,1286.3,1286.4
20170419170518,2017-04-19 17:05:18,1286.4,1286.5,1286.1,1286.4
20170419171714,2017-04-19 17:17:14,1286.4,1286.5,1285.5,1285.9
20170419172257,2017-04-19 17:22:57,1285.9,1285.9,1284.5,1284.7
20170419172446,2017-04-19 17:24:46,1284.7,1284.8,1284.3,1284.5
20170419172451,2017-04-19 17:24:51,1284.5,1284.5,1284.1,1284.4
20170419172544,2017-04-19 17:25:44,1284.5,1284.7,1284.2,1284.2
20170419172939,2017-04-19 17:29:39,1284.3,1284.5,1284.1,1284.4
20170419173422,2017-04-19 17:34:22,1284.3,1284.7,1283.9,1283.9
20170419174203,2017-04-19 17:42:03,1283.9,1284.0,1283.4,1283.6
20170419174526,2017-04-19 17:45:26,1283.7,1284.7,1283.7,1284.4
20170419175154,2017-04-19 17:51:54,1284.4,1284.9,1284.3,1284.6
20170419180023,2017-04-19 18:00:23,1284.6,1284.7,1284.2,1284.4
20170419180651,2017-04-19 18:06:51,1284.4,1284.5,1284.0,1284.2
