,Unnamed: 0,Date,Open,High,Low,Close,Day Diff,EMA5,BB,Trend,Rate %,N,Unit,Capital,Risk %
0,55,20170131,1201.0,1220.5,1198.9,1214.5,21.6,,True,15.6,0.722,,,170000,0.02
1,54,20170201,1216.0,1216.9,1203.4,1211.3,13.5,,False,5.6,0.415,,,170000,0.02
2,53,20170202,1213.9,1230.4,1213.6,1222.4,16.8,,True,8.8,0.524,,,170000,0.02
3,52,20170203,1220.4,1226.0,1212.0,1223.9,14.0,,True,11.9,0.85,,,170000,0.02
4,51,20170206,1224.9,1240.6,1223.9,1235.3,16.7,15.6,True,11.4,0.683,14.8,2.0,170000,0.02
5,50,20170207,1240.0,1240.5,1232.3,1239.3,8.2,16.0,False,1.2,0.146,13.0,2.0,170000,0.02
6,49,20170208,1237.3,1249.6,1234.8,1242.7,14.8,13.2,True,7.9,0.534,12.1,2.0,170000,0.02
7,48,20170209,1246.1,1249.0,1230.0,1240.0,19.0,13.7,False,9.0,0.474,12.8,2.0,170000,0.02
8,47,20170210,1233.0,1241.5,1226.0,1239.0,15.5,15.6,True,13.0,0.839,15.1,2.0,170000,0.02
9,46,20170213,1237.1,1237.1,1223.7,1228.9,13.4,15.5,False,8.2,0.612,14.0,2.0,170000,0.02
10,45,20170214,1229.6,1238.9,1226.2,1228.6,12.7,14.8,False,10.3,0.811,13.9,2.0,170000,0.02
11,44,20170215,1234.1,1238.0,1220.7,1236.4,17.3,14.1,True,15.7,0.908,14.4,2.0,170000,0.02
12,43,20170216,1238.3,1246.6,1236.7,1244.9,9.9,15.2,True,8.2,0.828,13.8,2.0,170000,0.02
13,42,20170217,1244.1,1248.1,1239.0,1242.4,9.1,13.4,False,5.7,0.626,11.9,2.0,170000,0.02
14,41,20170221,1240.6,1243.0,1230.3,1242.2,12.7,12.0,True,11.9,0.937,12.0,2.0,170000,0.02
15,40,20170222,1240.4,1245.0,1234.7,1236.6,10.3,12.2,False,8.4,0.816,11.4,2.0,170000,0.02
16,39,20170223,1241.3,1255.2,1240.0,1254.6,15.2,11.6,True,14.6,0.961,12.2,2.0,170000,0.02
17,38,20170224,1253.7,1264.1,1252.0,1261.5,12.1,12.8,True,9.5,0.785,12.1,2.0,170000,0.02
18,37,20170227,1260.3,1268.1,1254.8,1262.0,13.3,12.6,True,7.2,0.541,11.5,2.0,170000,0.02
19,36,20170228,1256.5,1262.5,1251.7,1257.2,10.8,12.8,True,5.5,0.509,11.3,3.0,170000,0.02
20,35,20170301,1252.0,1254.6,1240.5,1253.3,14.1,12.1,True,12.8,0.908,12.2,2.0,170000,0.02
21,34,20170302,1253.8,1253.8,1234.3,1236.1,19.5,12.8,False,17.7,0.908,13.8,2.0,170000,0.02
22,33,20170303,1237.7,1239.9,1226.5,1229.8,13.4,15.0,False,10.1,0.754,14.0,2.0,170000,0.02
23,32,20170306,1236.1,1240.2,1228.3,1228.8,11.9,14.5,False,11.4,0.958,13.9,2.0,170000,0.02
24,31,20170307,1229.8,1230.6,1217.6,1219.5,13.0,13.6,False,11.1,0.854,13.1,2.0,170000,0.02
25,30,20170308,1218.9,1221.8,1209.8,1212.8,12.0,13.4,False,9.0,0.75,12.5,2.0,170000,0.02
26,29,20170309,1211.4,1212.2,1202.2,1206.6,10.0,12.9,False,5.6,0.56,11.4,2.0,170000,0.02
27,28,20170310,1203.6,1209.5,1198.0,1204.7,11.5,12.0,True,6.7,0.583,10.9,3.0,170000,0.02
28,27,20170313,1208.9,1214.1,1205.5,1206.5,8.6,11.8,False,7.6,0.884,11.0,3.0,170000,0.02
